id,title,author,publisher,published_date,description,categories,language,page_count,average_rating,ratings_count,thumbnail,source
fxNH0QEACAAJ,The Silver Menace,Murray Leinster,Anson Street Press,2025-03-28,"Experience a thrilling journey into the cosmos with Murray Leinster's ""The Silver Menace,"" a classic of science fiction's golden age. This gripping tale of space adventure plunges readers into a universe threatened by alien invasion, where the fate of humanity hangs in the balance. Leinster, a master of the genre, crafts a compelling narrative of planetary exploration and desperate struggle against an unknown foe. ""The Silver Menace"" is a testament to the enduring power of science fiction, exploring themes of courage, ingenuity, and the boundless mysteries of the universe. This meticulously prepared edition brings this timeless story to a new audience, ensuring its place among the great works of science fiction literature. Prepare for a pulse-pounding encounter with the unknown, and witness the dawn of a galactic war. This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",Fiction,en,0.0,,,http://books.google.com/books/content?id=fxNH0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
6EwaEAAAQBAJ,The Most Cherished,W. J. May,W.J. May,2021-02-16,"Royal Blood has been spilled. That's not an act of defiance, it's an act of war. It all starts with a spark… When Elise and her friends escape the palace, they find themselves in more danger than ever before. A wave of revolution is sweeping across the land, but the odds are against them. The realm is littered with spies and the royal army is hot on their trail. Tensions build as those delicate alliances begin to shatter and break. Confidence wavers as many begin to question if they were better off under the palace's wicked rule. Can they find a way to bring everyone together? Can they keep one step ahead of those swords at their backs? How long can the pressure keep building, before something finally breaks? Royal Factions The Price for Peace – Book 1 The Cost for Surviving – Book 2 The Punishment for Deception – Book 3 Faking Perfection – Book 4 The Most Cherished – Book 5 The Strength to Endure – Book 6 Search Terms: Fiction Teen Abuse, Fiction coming of age, fantasy, paranormal, dystopian, coming of age, paranormal romance, paranormal fantasy, dark fantasy, superhero fantasy ebooks, fantasy witches, New Adult & College Romance Paranormal, vampires, paranormal shifter romance, shifter romance, shifters, shifter, fantasy new adult, witches, vampires and witches, superhero, new adult, new adult and college, New Adult & College Romance, w.j. may, chronicles of kerrigan, Tudor, supernatural, England, romance, mystery, tattoos, superpowers, boarding school, series, Young Adult, factions, teen young adult survival stories",Fiction,en,223.0,,,http://books.google.com/books/content?id=6EwaEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
kmWbDwAAQBAJ,Refugee Tales: Volume III,"Monica Ali, Lisa Appignanesi, David Constantine, Bernardine Evaristo, Patrick Gale, Abdulrazak Gurnah, David Herd, Emma Parsons, Ian Sansom, Jonathan Skinner, Gillian Slovo, Lytton Smith, Roma Tearne, Jonathan Wittenberg",Comma Press,2019-06-27,"With nationalism and the far right on the rise across Europe and North America, there has never been a more important moment to face up to what we, in Britain, are doing to those who seek sanctuary. Still the UK detains people indefinitely under immigration rules. Bail hearings go unrecorded, people are picked up without notice, individuals feel abandoned in detention centres with no way of knowing when they will be released. In Refugee Tales III we read the stories of people who have been through this process, many of whom have yet to see their cases resolved and who live in fear that at any moment they might be detained again. Poets, novelists and writers have once again collaborated with people who have experienced detention, their tales appearing alongside first-hand accounts by people who themselves have been detained. What we hear in these stories are the realities of the hostile environment, the human costs of a system that disregards rights, that denies freedoms and suspends lives. ‘We hear so many of the wrong words about refugees – ugly, limiting, unimaginative words – that it feels like a gift to find here so many of the right words which allow us to better understand the lives around us, and our own lives too.’ – Kamila Shamsie All profits go to the Gatwick Detainee Welfare Group and Kent Help for Refugees.",Fiction,en,217.0,,,http://books.google.com/books/content?id=kmWbDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
4XRZDwAAQBAJ,Swept Aside,Sharon Sala,MIRA,2018-07-16,"From a New York Times–bestselling author, a hostage situation leads to love for an undercover cop in book three of this romantic suspense series. Shell-shocked after a nightmarish school shooting, Amalie Pope retreats to an aging plantation house near Bordelaise, Louisiana, to heal, physically and emotionally. She’s there barely an hour when a tornado rips through bayou country, mercifully leaving the house intact. She’s stranded, but unafraid—until a knock on the door. Four escaped prisoners barge inside, and in an instant Amalie is a hostage again. These men are wounded, desperate and dangerous—with one exception. Undercover DEA operative Nick Aroyo is on the run with the gang he’s infiltrated. The only thing he wants more than this collar is to protect fragile, frightened Amalie, who has surrendered herself to his care, body, soul . . . and heart. But he’ll have to play the thug in order to keep her—and his secret—safe, because even though the storm has passed, the danger remains. . . .",Fiction,en,235.0,,,http://books.google.com/books/content?id=4XRZDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
3O9kzgEACAAJ,In the Days of Drake Illustrated,J S Fletcher,,2021-04-11,"Joseph Smith Fletcher (1863-1935) was a British journalist and writer. He wrote about 200 books on a wide variety of subjects, both fiction and Non fiction. He was one of the leading writers of detective fiction in the ""Golden Age."" Fletcher was born in Halifax, West Yorkshire, son of a clergyman. He was educated at Silcoates School in Wakefield. After some study of law, he became a journalist. His first books published were poetry, and he then moved on to write numerous works of bothHistoricalfiction andHistory, many dealing with Yorkshire. He was made a fellow of the RoyalHistoricalSociety. In 1914 he wrote his first detective novel and went on to write over a hundred, latterly featuring private investigator, Ronald Camberwell. His works include: Andrewlina (1889), The Winding Way (1890), Old Lattimer's Legacy (1892), When Charles the First was King (1892), The Wonderful City (1894), Where Highways Cross (1895), At the Gate of the Fold: A Country Tale (1896), The Builders (1897), God's Failures (1897), In the Days of Drake (1897), At the Blue Bell Inn (1898), Pasquinado (1898) and In the Mayor's Parlour (1922).",,en,142.0,,,http://books.google.com/books/content?id=3O9kzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
C-pmAAAAMAAJ,Contemporary Irish and Welsh Women's Fiction,Linden Peach,,2007,"This title is a comparative story of fiction by the late 20th and 21st century women writers from Ireland, Northern Ireland and Wales.",Literary Criticism,en,220.0,,,http://books.google.com/books/content?id=C-pmAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
DvoQxwEACAAJ,Sanders of the River,Edgar Wallace,Independently Published,2019-07,"Charged with the task of engaging with the indigenous peoples of Nigeria during the colonial period, Sanders takes a no-nonsense approach that, though it may offend the sensibilities of current-day readers, is unquestionably effective. Offering readers an action-packed glimpse into a period of history that is often overlooked. Sanders of the River should be on the must-read list of every action-adventure junkie.",,en,628.0,,,http://books.google.com/books/content?id=DvoQxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
CqRpPgAACAAJ,The Economy of Light,Jack Dann,,2008,,Alternative histories (Fiction),en,92.0,,,http://books.google.com/books/content?id=CqRpPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
ZJAfAQAAIAAJ,Mama's Baby (papa's Maybe) & Other Stories,"Lewis Davies, Arthur Smith",Parthian,1999,"Continuing the Parthian New Welsh Short Fiction series, this work is an anthology of contemporary Welsh writing with 55 short stories from the best of new short fiction. Writers include Leonora Britto, Sian Preece, Anna Hinds, Alun Richards, Meic Stephens, John Sam Jones and Lloyd Rees.",Fiction,en,526.0,,,http://books.google.com/books/content?id=ZJAfAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
TtPB_vvFVrAC,The Adjacent,Christopher Priest,Hachette UK,2013-06-20,"Tibor Tarent, a freelance photographer, is recalled to Britain from Anatolia where his wife Melanie has been killed by insurgent militia. IRGB is a nation living in the aftermath of a bizarre and terrifying terrorist atrocity - hundreds of thousands were wiped out when a vast triangle of west London was instantly annihilated. The authorities think the terrorist attack and the death of Tarent's wife are somehow connected. A century earlier, a stage magician is sent to the Western Front on a secret mission to render British reconnaissance aircraft invisible to the enemy. On his journey to the trenches he meets the visionary who believes that this will be the war to end all wars. In 1943, a woman pilot from Poland tells a young RAF technician of her escape from the Nazis, and her desperate need to return home. In the present day, a theoretical physicist stands in his English garden and creates the first adjacency. THE ADJACENT is a novel where nothing is quite as it seems. Where fiction and history intersect, where every version of reality is suspect, where truth and falsehood lie closely adjacent to one another. It shows why Christopher Priest is one of our greatest writers.",Fiction,en,459.0,,,http://books.google.com/books/content?id=TtPB_vvFVrAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
bvkFAAAACAAJ,Nanotime,Bart Kosko,William Morrow,1997,"A 21st century adventure starring John Grant, inventor of a process for converting water into cheap hydrogen fuel. He becomes the target of assassins, sent after him by oil producers who fear they will be put out of business. A debut in fiction.",Cybernetics,en,0.0,,,http://books.google.com/books/content?id=bvkFAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
CSCIAAAACAAJ,Disney Jack Sparrow Fiction 3 Pirate Cha,Rob Kidd,,2007,"Piraten Jack Sparrow og hans lille besætning er på jagt efter et værdifuldt sværd og en guldskat, men kommer på mystisk vis ud i den ene orkan efter den anden",Children's stories,en,122.0,,,http://books.google.com/books/content?id=CSCIAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
ptXFyQEACAAJ,The Poison Belt Annotated,Arthur Conan Doyle,,2019-09-18,"The Poison Belt is a science fiction novel by British writer Arthur Conan Doyle, the second book about Professor Challenger. Written in 1913, much of it takes place in a single room in Challenger's house in Sussex. This would be the last story written about Challenger until the 1920s, by which time Doyle's spiritualist beliefs had begun to influence his writing.",,en,110.0,,,http://books.google.com/books/content?id=ptXFyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
PRx3CgAAQBAJ,Some Gods of El Paso,Maria Dahvana Headley,Tor Books,2015-10-28,"Some Gods of El Paso by Maria Dahvana Headley is a short fantasy story of a couple on the run from the law for stealing and illegally trading in strong emotions in 1920s US. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",Fiction,en,22.0,,,http://books.google.com/books/content?id=PRx3CgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
xzH2G-8hIQwC,RUBURY:NOVELTY OF NEWSPAPERS P,Matthew Rubery,"Oxford University Press, USA",2009-06-01,"Rapid industrialization and new advances in technology marked the Victorian period as one of prodigious socio-cultural change. Chief among the many transformations of quotidian life was the swift and widespread dissemination of information made possible by the emergence of the daily newspaper, an unprecedented new media. The changes it wrought in politics, history, and advertising of the age have all been well-documented. But its influence on one area remains overlooked: the Victorian novel. Redressing this oversight, The Novelty of Newspapers highlights the variety of ways the changing world of nineteenth-century journalism shaped the period's most popular literary form. Arising in the 1800s and soon drawing a million readers a day, the commercial press profoundly influenced the work of Bronte, Braddon, Dickens, Conrad, James, Trollope, and others who mined print journalism for fictional techniques. Five of the most important of these narrative conventions-the shipping intelligence, personal advertisement, leading article, interview, and foreign correspondence-show how the Victorian novel is best understood alongside the simultaneous development of newspapers. In highly original analyses of Victorian fiction, this study also captures the surprising ways in which public media enabled the expression of private feeling among ordinary readers: from the trauma caused by a lover's reported suicide to the vicarious gratification felt during a celebrity interview; from the distress at finding one's behavior the subject of unflattering editorial commentary to the apprehension of distant cultures through the foreign correspondence. Combining a wealth of historical research with a series of astute close readings, The Novelty of Newspapers breaks down the assumed divide between the epoch's literature and journalism and demonstrates that newsprint was integral to the development of the novel.",Language Arts & Disciplines,en,245.0,,,http://books.google.com/books/content?id=xzH2G-8hIQwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
m6_gzgEACAAJ,Master of the World Original Edition (Annotated),Jules Verne,,2022-01-04,"Master of the World, published in 1904, is one of the last novels by French pioneer science fiction writer, Jules Verne. It is a sequel to Robur the Conqueror. At the time Verne wrote the novel, his health was failing",,en,132.0,,,,google_books_api
cb01yQEACAAJ,Tales of Space and Time,H. G. Wells,,2019-08-24,Tales of Space and Time is a fantasy and science fiction collection of three short stories and two novellas written by H. G. Wells between 1897 and 1898. It was first published by Doubleday & McClure Co. in 1899.,,en,194.0,,,http://books.google.com/books/content?id=cb01yQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
1vkNzgEACAAJ,The Machine Stops Illustrated,E. M. Forster,,2020-08-29,"""""""The Machine Stops"""" is a science fiction short story (12,300 words) by E. M. Forster. After initial publication in The Oxford and Cambridge Review (November 1909), the story was republished in Forster's The Eternal Moment and Other Stories in 1928. After being voted one of the best novellas up to 1965, it was included that same year in the populist anthology Modern Short Stories.[1] In 1973 it was also included in The Science Fiction Hall of Fame, Volume Two.The story, set in a world where humanity lives underground and relies on a giant machine to provide its needs, predicted technologies such as instant messaging and the Internet.""",,en,54.0,,,,google_books_api
Bl6izgEACAAJ,"Michael, Brother of Jerry-Original Edition(Annotated)",Jack London,,2021-07-31,"Michael, Brother of Jerry is a novel by Jack London released in 1917. This novel is the sequel to his previous novel Jerry of the Islands also released in 1917. Each book tells the story of one of two dog siblings, Jerry and Michael, born in the Solomon Islands. Michael, an Irish terrier, was born and raised in the Solomon Islands. The dog now works as a slave hunter aboard a schooner on a mission to recruit native islanders for work. One day the captain accidentally leaves Michael on a beach and sails away. Michael was then abducted by Dag Daughtry, a steward on another ship, who initially planned to sell the dog for money. However, later he got attached to Michael and takes the dog to a trip around the world.",,en,331.0,,,,google_books_api
S0sAzgEACAAJ,A Bid for Fortune Or Dr Nikola's Vendetta Illustrated,Guy Boothby,,2020-10-20,"London, the decadent 1890s: a mysterious meeting is called in a private room of the sumptuous Imperial Hotel. The sinister Dr Nikola is presiding, but what masterpiece of crime is he planning? Meanwhile, in Sydney, Australia, a rugged young man rescues a girl from attack by ruffians. These two events are skilfully woven together in one of the classics of late Victorian crime fiction. Before his tragically early death, Boothby lived his life equally in the Northern and Southern hemispheres, and in this novel he creates a narrative that moves breathtakingly from the West and East Ends of London to a thrilling climax in the South Seas via Egypt and Australia",,en,302.0,,,http://books.google.com/books/content?id=S0sAzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
dPIxzgEACAAJ,Tales of Space and Time Illustrated,H G Wells,,2021-02-02,Tales of Space and Time is a fantasy and science fiction collection of three short stories and two novellas written by the English author H. G. Wells between 1897 and 1898. It was first published by Doubleday & McClure Co. in 1899. All the stories had first been published in various monthly periodicals and this was the first volume to collect these stories.,,en,252.0,,,http://books.google.com/books/content?id=dPIxzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
iyGduAAACAAJ,Eldritch Evolutions,Lois H. Gresh,Call of Cthulhu Fiction,2011-03,"ELDRITCH EVOLUTIONS is the first collection of short stories by Lois H. Gresh, one of the most talented writers working these days in the realms of imagination. These tales of weird fiction blend elements wrung from science fiction, dark fantasy, and horror. Some stories are bent toward bizarre science, others are Lovecratian Mythos tales, and yet others are just twisted. They all share an underlying darkness, pushing Lovecraftian science and themes in new directions. While H.P. Lovecraft incorporated the astronomy and physics ideas of his day (e.g., cosmos-within-cosmos and other dimensions), these stories speculate about modern science: quantum optics, particle physics, chaos theory, string theory, and so forth. Full of unique ideas, bizarre plot twists, and fascinating characters, these tales show a feel for pacing and structure, and a wild sense of humor. They always surprise and delight.",,en,0.0,,,http://books.google.com/books/content?id=iyGduAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
cvL0uwEACAAJ,The Four Just Men,Edgar Wallace,Createspace Independent Publishing Platform,2018-09-15,"The Four Just Men Edgar Wallace Richard Horatio Edgar Wallace (1 April 1875 - 10 February 1932) was an English writer. Born into poverty as an illegitimate London child, Wallace left school at age 12. He joined the army at age 21 and was a war correspondent during the Second Boer War, for Reuters and the Daily Mail. Struggling with debt, he left South Africa, returned to London, and began writing thrillers to raise income, publishing books including The Four Just Men (1905). Drawing on his time as a reporter in the Congo, covering the Belgian atrocities, Wallace serialised short stories in magazines such as The Windsor Magazine and later published collections such as Sanders of the River (1911). He signed with Hodder and Stoughton in 1921 and became an internationally recognised author.",,en,124.0,,,http://books.google.com/books/content?id=cvL0uwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
QQgpEAAAQBAJ,The Golden Age,Kenneth Grahame,Graphic Arts Books,2021-04-20,"The Golden Age (1895) is a collection of stories by Kenneth Grahame. Although less popular than The Wind in the Willows (1908), which would go on to become not only a defining work of Edwardian English literature, but one of the most popular works of children’s fiction in the world, The Golden Age is a moving portrait of youth, an understated autobiographical meditation made for children and adults alike. Recalling his youth among elders who exemplified Victorian values of stoicism and quiet decency, Kenneth Grahame refers to these hallowed figures as the “Olympians” whose presence provided both order and necessary balance to his rambunctious, imaginative boyhood. Now an adult himself, Grahame wonders if he has become one of these “Olympians,” and looks back on his youth not only for an answer, but for a reaffirmation of the joy and freedom of a childhood spent among friends. In the stories that follow, he recalls the games they played, the places they discovered, and the legends they made of the normal, the boring, and the everyday found all around them. Filled with references to classical Greek mythology, Grahame’s collection is nostalgic for a world left behind, yet open to reconstituting a reality more wonderful for its common nature. The Golden Age is not just a book about the experience of childhood, but a study of the past that must remain present within us. Grahame’s book remains, over a century after it was published, a classic work of literature for children and adults alike. With a beautifully designed cover and professionally typeset manuscript, this edition of Kenneth Grahame’s The Golden Age is a classic work of British literature reimagined for modern readers.",Juvenile Fiction,en,85.0,,,http://books.google.com/books/content?id=QQgpEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
xg3KzgEACAAJ,The Voyage Out Illustrated,Virginia Woolf,,2021-09-14,"The Voyage Out is the first novel by Virginia Woolf, published in 1915 by Duckworth; and published in the US in 1920 by Doran.",,en,477.0,,,,google_books_api
quUn0AEACAAJ,The Poison Belt,Arthur Conan Doyle,,2022-09-28,"The Poison Belt is a science fiction novel by British writer Arthur Conan Doyle, the second book about Professor Challenger. Written in 1913, much of it takes place in a single room in Challenger's house in Sussex. Must Professor George Challenger and friends, barricaded in a room, see Earth die? As globe passes through a belt of poisonous ether, terror sweeps mankind; cities riot; communications cease.",,en,0.0,,,http://books.google.com/books/content?id=quUn0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
lNTgswEACAAJ,Dracula,Bram Stoker,,2017-06-23,"Dracula is a novel by Irish author Bram Stoker published in 1897, Famous for introducing the character of the vampire Count Dracula, the novel tells the story of Dracula's attempt to move from Transylvania to England so he may find new blood and spread undead curse, and the battle between Dracula and a small group of men and women led by Professor Abraham Van Helsing. Dracula has been assigned to many literary genres including vampire literature, horror fiction, the gothic novel and invasion literature. The novel touches on themes such as the role of women in Victorian culture, sexual conventions, immigration, colonialism, and post-colonialism. Although Stoker did not invent the vampire, he defined its modern form, and the novel has spawned numerous theatrical, film and television interpretations.",,en,220.0,,,,google_books_api
B1ggzgEACAAJ,The Willows Illustrated,Algernon Blackwood,,2020-12-22,"""The Willows"" is a novella by English author Algernon Blackwood, originally published as part of his 1907 collection The Listener and Other Stories. It is one of Blackwood's best known works and has been influential on a number of later writers. Horror author H.P. Lovecraft considered it to be the finest supernatural tale in English literature.[1] ""The Willows"" is an example of early modern horror and is connected within the literary tradition of weird fiction.",,en,78.0,,,http://books.google.com/books/content?id=B1ggzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
swpJPgAACAAJ,Four and Twenty Blackbirds,Mercedes Lackey,,1998,"When a murder/suicide spree besieges Alanda, with each incident leaving both killer and victim dead, constable Tal Rufen begins to suspect that the events are linked to a much bigger puzzle.",Detective and mystery stories,en,0.0,,,http://books.google.com/books/content?id=swpJPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
dk8ezgEACAAJ,The Great Mystery of Eternity,Jamie McNabb,,2020-12-15,"Eternity is unimaginably other. It is so other that we can't even begin to wrap our minds around it, let alone understand it. It remains the ultimate mystery, the intractable unknown and unknowable.However, now and then, we are able to catch glimpses, or the hints of glimpses, of it. Often these epiphanies go unrecognized. Sometimes they are only suspected to have taken place. Now and then, they are recognized for what they are, if only intuitively.The Great Mystery of Eternity collects ten short stories that sketch such moments. They are times of great intensity, events of that lead to a revelation.These tales range from myth to science fiction, from action adventure to stories of faith, from sea adventures to the saga of one very important cup of English tea. The action is both subtle and violent, the characters are complex and layered, and the stakes couldn't be higher.The window is open and ready. Are you equally prepared to look through it and to catch these ten glimpses of the other.",Fiction,en,242.0,,,http://books.google.com/books/content?id=dk8ezgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
0p3JzgEACAAJ,The Master of the World Annotated,Jules Verne,,2021-09-12,"Master of the World published in 1904, is one of the last novels by French pioneer science fiction writer, Jules Verne. It is a sequel to Robur the Conqueror. At the time Verne wrote the novel, his health was failing. Master of the World is a black novel, filled with foreboding and fear of the rise of tyrants such as the novel's villain, Robur, and totalitarianism.",,en,159.0,,,,google_books_api
2x1kAAAACAAJ,New Italian Fiction,John O'Brien,,1992-01-11,"Francesco Guardiani, ""Introduction""/Luigi Malerba, ""From Il fuoco greco""/Antonio Tabucchi, ""Waiting for Winter""/Sandro Zanotto, ""Encounter in the Abele Valley""/Franco Ferrucci, ""From I satelliti di Saturno""/Aldo Busi, ""It's a Deal!""/Maria Corti, ""Love Variations""/Elisabetta Rasy, ""From Il finale della battaglia""Paolo Cherchi, ""Amors de Lonh""/Armando Balduino, ""Killer on the Phone""/Alice Ceresa, ""From Bambine""/Paola Capriolo, ""Letters to Luisa""/Alessandro Carrera, ""The Rose of Yesterday""/Paolo Valesio, ""The Great Returning""/Giuliano Gramigna, ""From La festa del centenario""",Fiction,en,234.0,,,,google_books_api
-_WNzgEACAAJ,The Picture of Dorian Gray by Oscar Wilde (Annotated),Oscar Wilde,,2021-06-19,"""The Picture of Dorian Gray"" is the only novel Oscar Wilde ever published and it is considered to be his greatest work. Wilde published the first version of ""The Picture of Dorian Gray"" in 1890 in a magazine called Lippincott's Monthly, and it was not well received. Readers and critics considered it to be incredibly immoral. These days that probably would mean that the book would get a lot of attention, make a lot of money and get made into a movie with those kids from Twilight. But this was at the end of Victorian era, and morality was a bigger deal then, so a book being called 'immoral' meant it wasn't going to be successful. So Wilde decided to write a second version of the book, with a preface and some additional chapters that he thought would address some of the criticism he received and explain his position as a follower of aestheticism, which just means that he thought something beautiful didn't have to serve a larger purpose. It didn't have to be moral or educational or take a political stance; it could just be beauty for beauty's sake. It's also worth noting that he published ""The Picture of Dorian Gray"" around the time that he began his relationship with Lord Alfred Douglas, also known as Bosie. Dorian Gray, the title character of the novel, is a decadent dandy of the Victorian era. Concerned with little but appearances, he lives a reckless, nonproductive existence. A crucial event in his life comes when Dorian meets Lord Henry Wotton in the studio of Basil Hallward, an artist, who has painted a portrait of the breathtakingly beautiful Dorian, now in his early twenties. Lord Wotton intrigues Dorian with his talk of the New Hedonism and, unbeknownst to Basil, the picture has somehow become enchanted, and it ages in Dorian's place. The Picture of Dorian Gray By Oscar Wilde, Didactic fiction, Supernatural Fiction, Conduct of life, Portraits, Great Britain, History, Victoria, London, Appearance, Paranormal fiction",,en,160.0,,,,google_books_api
slxguQEACAAJ,The Invisible Man,H. G. Wells,,2018-06-25,"The Invisible Man is a science fiction novel by H. G. Wells. Originally serialized in Pearson's Weekly in 1897, it was published as a novel the same year. The Invisible Man of the title is Griffin, a scientist who has devoted himself to research into optics and invents a way to change a body's refractive index to that of air so that it neither absorbs nor reflects light and thus becomes invisible. He successfully carries out this procedure on himself, but fails in his attempt to reverse it. An enthusiast of random and irresponsible violence, Griffin has become an iconic character in horror fiction. While its predecessors, The Time Machine and The Island of Doctor Moreau, were written using first-person narrators, Wells adopts a third-person objective point of view in The Invisible Man.",,en,148.0,,,,google_books_api
OVGzDQAAQBAJ,Wrapt in Crystal,Sharon Shinn,Hachette UK,2017-01-26,"Sweetly are the secrets told wrapt in crystal, limned in gold . . . On a planet of barren beauty near the edge of the civilized galaxy, two religions are practiced. Both sects worship the same goddess - the Triumphantes in joy and splendour, the Fideles in solemnity and selflessness. As different as day and night, sun and shadow, joy and grief, the two sects are now bound together in death . . . A serial killer is stalking the priestesses, killing first a Triumphante, then a Fidele, in turn. Six women are now dead, and the planetary authorities are at a loss. Enter Interfed Agent Cowen Drake. A cunning professional, he must immerse himself in an unfamiliar world of stark spirituality to catch the killer. A world that will trap him between opulence and sacrifice, between duty and desire and between two extraordinary women - one who could become the killer's ultimate victim . . .",Fiction,en,263.0,,,http://books.google.com/books/content?id=OVGzDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
do1oDwAAQBAJ,,,,,,,en,344.0,,,http://books.google.com/books/content?id=do1oDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
yQCZzQEACAAJ,Flush: a Biography,Virginia Woolf,,2020-05,"Flush: A Biography, an imaginative biography of Elizabeth Barrett Browning's cocker spaniel, is a cross-genre blend of fiction and nonfiction.Commonly read as a modernist consideration of city life seen through the eyes of a dog, Flush serves as a harsh criticism of the supposedly unnatural ways of living in the city. The figure of Elizabeth Barrett Browning in the text is often read as an analogue for other female intellectuals, like Woolf herself, who suffered from illness, feigned or real, as a part of their status as female writers. Most insightful and experimental are Woolf's emotional and philosophical views verbalized in Flush's thoughts. As he spends more time with Barrett Browning, Flush becomes emotionally and spiritually connected to the poetess and both begin to understand each other despite their language barriers.",,en,58.0,,,,google_books_api
957JtAEACAAJ,The Country of the Blind,H. G. H. G. Wells,,2017-12-16,"Why buy our paperbacks? Expedited shipping High Quality Paper Made in USA Standard Font size of 10 for all books 30 Days Money Back Guarantee BEWARE of Low-quality sellers Don't buy cheap paperbacks just to save a few dollars. Most of them use low-quality papers & binding. Their pages fall off easily. Some of them even use very small font size of 6 or less to increase their profit margin. It makes their books completely unreadable. How is this book unique? Unabridged (100% Original content) Font adjustments & biography included Illustrated The Country of the Blind by H. G. Wells ""The Country of the Blind"" is a story written by H. G. Wells. It is one of Wells's best known stories, and features prominently in literature dealing with blindness. ""In the country of the blind, the one-eyed man is king."" Or is he? In H. G. Wells' acclaimed tale, a stranded mountaineer encounters an isolated society in which his apparent advantage proves less than valuable. Plot Summary: While attempting to summit the unconquered crest of Parascotopetl, a mountaineer named Nu�ez slips and falls down the far side of the mountain. At the end of his descent, down a snow-slope in the mountain's shadow, he finds a valley, cut off from the rest of the world on all sides by steep precipices. Unbeknownst to Nu�ez, he has discovered the fabled ""Country of the Blind"". The valley had been a haven for settlers fleeing the tyranny of Spanish rulers, until an earthquake reshaped the surrounding mountains, cutting the valley off forever from future explorers. The isolated community prospered over the years, despite a disease that struck them early on, rendering all newborns blind. As the blindness slowly spreads over many generations, the people's remaining senses sharpened, and by the time the last sighted villager had died, the community had fully adapted to life without sight.",,en,60.0,,,,google_books_api
ovYvyAEACAAJ,One-Minute Flash Fiction,Dave Kilgore,,2019-08,"This is a book of one-page, monologue-style flash fiction pieces. All one hundred of them are taken directly from Dave Kilgore's book, ""Another 100 Short and Effective Monologues: Original, one-minute pieces for adult actors to use in auditions, classroom, and practice.""Here, in this format, Dave shares these same, brief scenes of drama, comedy, romance, and reverie with all the non-actors who would not normally get to experience them and who appreciate brevity in storytelling. Enjoy.Dave Kilgore is a longtime actor, pianist, composer, playwright, and author. He has written multiple books of monologues, scenes, flash fiction, and a novel.Published by Scribernaut Press, LLC.",,en,120.0,,,http://books.google.com/books/content?id=ovYvyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books_api
